1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,label
AAAS,ABI2,ACTA1,ACTA2,ACTB,ACTC1,ACTG1,ACTG2,ACTN4,ANP32E,ARMC6,ATXN10,BAK1,BOP1,CAPZB,CD2AP,CHCHD3,CHD4,CNOT1,CYFIP1,DBN1,DHX9,DSTN,EPAS1,FANCI,FLNA,FLNB,GTF2I,GYS1,HNRNPA3,HNRNPH1,HNRNPM,HNRNPU,INF2,IPO4,IPO7,IQGAP1,LRPPRC,MRPS17,MYH10,MYH9,MYL6,NCKAP1,NDUFA10,NDUFC1,NDUFS1,NDUFS2,NUBPL,OXSM,PCBP2,PDLIM1,PML,PPM1F,PRC1,PRDX1,RAC1,RNH1,RPA1,RPN1,RRP1,RUFY1,SAFB2,SAMM50,SART3,SLC2A1,SLC2A3,SLC3A2,SLC7A11,SMPD4,SQSTM1,STRAP,TARDBP,TLN1,TRIP6,WASF2,ZHX2,label
-0.359977731,-0.390493186,-0.417054256,-0.408168804,6.527820015,-0.417530688,4.843562286,-0.413981271,0.365889873,-0.160567219,-0.365575805,-0.275101414,-0.345089239,-0.287059851,-0.036170887,-0.270765885,-0.386634088,-0.352783612,-0.151419729,-0.11587792,-0.331487112,-0.103705089,0.135511297,-0.059778081,-0.248897667,0.279465153,-0.091460793,-0.387039055,-0.318337596,0.144515857,0.332849331,-0.021711183,0.387972485,-0.284606227,-0.417459223,-0.253423769,0.032268535,-0.232818095,-0.404000026,-0.397139409,0.892489896,0.382827022,-0.082194195,-0.350996993,-0.359024868,-0.351068458,-0.212093314,-0.402642195,-0.394971644,-0.206995494,-0.096987401,-0.186770966,-0.345899173,-0.416387252,0.013973555,0.79625068,-0.153063419,-0.125906809,0.363055104,-0.311286406,-0.338895626,-0.324292993,-0.356523601,-0.324793246,1.120748351,-0.402165764,-0.155040611,-0.397901699,-0.298708607,-0.182959512,-0.275696953,-0.23498586,-0.094438491,-0.229173392,0.071979122,-0.373198713,0
-0.347079,-0.386991779,-0.437912398,-0.396539395,7.478596451,-0.43794984,3.439131127,-0.434243118,0.557623148,-0.222136275,-0.386954338,-0.356701499,-0.351160138,-0.340526714,-0.013698711,-0.129730327,-0.272907127,-0.408745367,-0.208582404,-0.329219341,0.011237416,-0.034141842,0.21117573,0.008466735,-0.160020608,0.373672411,-0.021299362,-0.393094765,-0.365200749,0.092635523,0.356486702,0.010376259,0.601392416,-0.175072143,-0.438286815,-0.027626998,0.474090868,-0.076001586,-0.423871786,-0.415896719,0.635801275,0.216342675,-0.09880354,-0.224420214,-0.392271049,-0.168070558,-0.101911195,-0.424695502,-0.410767215,-0.227378103,-0.224195564,-0.149649276,-0.413799987,-0.434767301,0.05927503,0.354726946,0.003561882,-0.142235832,0.355887636,-0.359884038,-0.274517117,-0.273506193,-0.391522217,-0.312220841,-0.121642935,-0.405862362,0.047331149,-0.427503625,-0.310947825,0.058039456,-0.21857932,-0.274704326,0.146064732,-0.223259524,-0.128307545,-0.364901216,1
-0.264702368,-0.298488908,-0.313517337,-0.300335467,7.856426428,-0.313499054,2.414014475,-0.312255826,0.844073886,-0.20649006,-0.272435975,-0.217057496,-0.261813692,-0.211316709,-0.159375388,-0.227880889,-0.293515997,-0.26717054,-0.248119905,-0.20310775,-0.276988382,-0.140745256,-0.078547307,-0.170875244,-0.255396443,0.812335015,-0.069259665,-0.30903806,-0.21575942,-0.051232864,-0.112059606,-0.10798255,0.1746872,-0.194112632,-0.313590468,-0.182631059,0.028937038,-0.203290577,-0.308416447,-0.251886153,1.453474838,0.263230606,-0.118330592,-0.279273727,-0.293662259,-0.284612293,-0.240788518,-0.305088984,-0.307209785,-0.165006478,-0.123669158,-0.16720041,-0.290298232,-0.313243095,-0.048234491,0.192403194,-0.105806902,-0.214973261,0.141668535,-0.288597935,-0.290426211,-0.253348774,-0.267225389,-0.273679203,0.313983547,-0.300792536,0.121520934,-0.298452343,-0.254921091,-0.244189111,-0.185318625,-0.228923007,-0.090321404,-0.247662836,-0.227295841,-0.295307708,1
-0.301440037,-0.306913732,-0.332768892,-0.307976273,6.274995424,-0.332656198,5.365122395,-0.324671043,0.252900392,-0.272059173,-0.311518075,-0.245366859,-0.282684581,-0.28880224,-0.089752925,-0.269740902,-0.283908113,-0.285888303,-0.197568621,-0.222795916,-0.283570032,-0.151959861,-0.06434854,-0.22973463,-0.280897581,0.851787041,-0.100136847,-0.318134807,-0.277951445,0.05415696,0.022860303,-0.086162825,0.170360289,-0.270867839,-0.332688396,-0.241438678,-0.133188306,-0.239522885,-0.327102008,-0.28899543,1.107521299,0.442869813,-0.125782719,-0.273443696,-0.296433215,-0.281122968,-0.289993574,-0.327021512,-0.329903252,-0.149705987,-0.02071997,-0.197874504,-0.302727965,-0.332430811,-0.079336805,0.067438721,-0.173291173,-0.186701726,0.488011699,-0.268565667,-0.299314955,-0.279207175,-0.296449315,-0.253126627,0.432759576,-0.300457991,-0.132061369,-0.324349061,-0.255267808,-0.219865879,-0.154197636,-0.209143877,-0.182065185,-0.235755695,-0.162070098,-0.309183705,0
-0.364583031,-0.381299549,-0.425444801,-0.330706496,5.525703722,-0.425990647,6.026585176,-0.418075888,0.413860847,-0.123558138,-0.373930635,-0.24879556,-0.391738843,-0.324224581,0.088195791,-0.353427314,-0.365811183,-0.376796323,-0.23941384,-0.09578825,-0.337836603,-0.076001351,0.316461545,-0.183294103,-0.314979323,0.438560355,0.212853251,-0.387235618,-0.353188507,0.289066925,0.320521271,0.143394414,0.339932901,-0.232079042,-0.425854186,-0.251081287,0.086762946,-0.250194289,-0.413163278,-0.388293194,1.208987128,0.394688025,-0.084461956,-0.256062127,-0.28775528,-0.224300744,-0.151532719,-0.412037472,-0.409922321,-0.235934076,-0.144504958,-0.267729574,-0.352096816,-0.424864841,-0.208164187,0.190951201,0.034873511,-0.15262441,0.21769763,-0.219285789,-0.340668176,-0.293589004,-0.368949795,-0.3215977,0.411609235,-0.338041295,-0.138364197,-0.423568458,-0.305563489,-0.107387466,-0.282672094,-0.235285884,-0.03045737,-0.256198589,-0.187729097,-0.34657013,0
-0.274168924,-0.368954098,-0.39849943,-0.387167375,3.568978966,-0.398938657,7.354353872,-0.397298877,0.319841591,-0.211886544,-0.324592177,-0.234784909,-0.3666994,-0.281372246,-0.063662092,-0.340726447,-0.315075593,-0.317154601,-0.248254535,-0.162898099,-0.191594259,0.028575565,0.096421487,-0.303040775,-0.232178829,0.325961486,-0.196132938,-0.379612672,-0.297096571,0.28086752,0.419546107,0.118119298,0.821028813,-0.080323434,-0.398440867,-0.065067618,0.003012557,-0.166382633,-0.391501081,-0.223101472,1.161517537,0.620419228,-0.145416867,-0.336041359,-0.286994351,-0.362746357,-0.291123084,-0.389099974,-0.381955216,0.029981092,-0.130278178,-0.302923648,-0.325499913,-0.397503849,-0.03233057,-0.019856525,-0.032711234,-0.248752325,0.632512609,-0.305324755,-0.343361808,-0.267639084,-0.298619224,-0.276775004,0.056773935,-0.351531429,-0.094700796,-0.395746942,-0.265413667,-0.186997017,-0.190920778,-0.2336722,-0.20122797,-0.285793797,-0.082431724,-0.357914861,0
-0.337100373,-0.367290608,-0.389366929,-0.375889971,7.192034685,-0.390268476,3.849402286,-0.386546708,0.528591926,-0.193407795,-0.338348667,-0.239432879,-0.344058459,-0.183398322,-0.026483069,-0.360355638,-0.342625232,-0.340660324,-0.152491473,-0.100294265,-0.293386945,-0.157484651,0.045640619,-0.233584388,-0.29227735,0.667060159,-0.090492841,-0.373994413,-0.288832982,0.01223718,0.173937563,-0.04532307,0.19307808,0.073218683,-0.389991077,-0.282915141,0.165569366,-0.013052343,-0.380836916,-0.357674117,1.040346475,0.21846007,-0.123595764,-0.215761515,-0.343341846,-0.292600982,-0.184507917,-0.381738463,-0.380351469,-0.163286909,0.011844199,-0.285920294,-0.23693629,-0.389181997,-0.206145023,1.140996006,-0.172880284,-0.2076476,0.240860023,-0.278245594,-0.288740515,-0.296808197,-0.331321231,-0.324987292,0.480185836,-0.384628033,-0.23235921,-0.388511616,-0.272951901,-0.22387543,-0.255868758,-0.264560587,-0.178150861,-0.233954253,-0.068878852,-0.357859049,1
-0.397962301,-0.373295468,-0.463179914,-0.43926056,5.323154635,-0.463273349,5.242473534,-0.458928622,1.209119264,-0.224780576,-0.40431588,-0.340406357,-0.402961072,-0.374276535,-0.230666979,-0.382592248,-0.401466113,-0.427768058,-0.049823586,-0.124898588,-0.426413251,-0.090140777,0.155826794,-0.016560735,-0.331062859,1.345814632,0.2814034,-0.392683225,-0.317374636,0.161619762,0.134757207,-0.078648275,0.463087708,-0.261920978,-0.463273349,-0.171616075,0.076640653,-0.155825564,-0.457153358,-0.361896401,2.813958389,0.440289574,-0.068370428,-0.332464384,-0.4016997,-0.229405607,-0.255660835,-0.445754291,-0.446081313,-0.276683704,-0.353720841,-0.115087915,-0.33031538,-0.462105411,-0.170167833,0.007919229,-0.081871782,-0.213054486,0.068465092,-0.374510123,-0.37455684,-0.394598642,-0.413659377,-0.354328168,0.821971446,-0.445941161,-0.231461176,-0.45934908,-0.294576502,-0.122469278,-0.297005811,-0.343442994,0.052067254,-0.220529284,-0.17133577,-0.433934767,0
-0.286080871,-0.280230083,-0.338301641,-0.32838505,4.698156575,-0.338658638,6.865149936,-0.335505162,0.07337573,-0.145027277,-0.283006728,-0.202246009,-0.314501822,-0.269301999,0.10310567,-0.221722194,-0.277810434,-0.245918677,-0.281241575,-0.215316076,-0.247227667,-0.08285025,-0.074678978,-0.219421545,-0.297425452,0.370853635,-0.241119047,-0.334949833,-0.296394126,0.259847312,0.091285093,0.068814098,0.412721483,-0.160140162,-0.338499973,-0.223229516,-0.166506614,-0.223388181,-0.331241028,-0.267576512,0.412404152,0.881637419,-0.1858043,-0.195562226,-0.215137577,-0.246255841,-0.203217835,-0.32358542,-0.326560397,-0.107602061,-0.116407995,-0.271205985,-0.324874577,-0.338321474,-0.073032824,-0.039772577,-0.083385746,-0.153000216,0.735843694,-0.244530354,-0.26955983,-0.261170394,-0.138997989,-0.274934623,-0.188323115,-0.32053111,-0.073409655,-0.334216006,-0.259841571,-0.18842228,-0.193003746,-0.189215608,-0.208513294,-0.249944813,-0.230686793,-0.276263446,0
-0.351997808,-0.339891579,-0.388597566,-0.328287268,6.694971443,-0.388758179,3.723344116,-0.368039062,0.490760312,-0.225053062,-0.355752144,-0.277653921,-0.344750132,-0.307487844,-0.048037117,-0.309756507,-0.340513956,-0.3621566,-0.174058336,-0.119309273,-0.28662819,-0.132921252,0.569922597,-0.312727853,-0.302729675,0.241046767,0.036345102,-0.35739843,-0.245651719,0.077482186,0.081276675,-0.043138411,0.26124389,-0.308170451,-0.388918793,-0.196142666,0.167445717,-0.249526515,-0.379964601,-0.307307154,0.829574091,0.247611836,-0.108869408,-0.276790625,-0.341939399,-0.305500254,-0.253501695,-0.379542991,-0.375186355,-0.284781137,-0.191685647,-0.250771268,-0.30901367,-0.388557413,-0.200720145,0.131809638,-0.077991499,-0.201282292,0.031968389,-0.287852867,-0.325175385,-0.331258614,-0.346898335,-0.328186884,3.107512528,-0.355631684,-0.164361307,-0.38279541,-0.29090452,-0.156431025,-0.270928239,-0.277573615,-0.137659344,-0.246193789,0.042006721,-0.345011129,1
